stem,C4_e1_med,C4_e1_n,C5_e1_med,C5_e1_n,C4_med,C5_med
ank_17_22,2.5437389762107743,51,2.016844175394212,74,2.7885689208658273,1.6483037836967889
ank_17_31,1.0340465923314544,80,0.6854834686825035,132,0.6857268411872264,0.5188315897684708
ank_17_32,1.9168615862253096,37,1.9792213140994455,36,2.4132997075999807,0.7864024089332067
ank_18_16,1.920034921321235,56,1.5620691247730296,96,2.9265269225351247,1.6890205978842936
ank_18_27,3.0090924764752196,49,2.0739493219307454,61,2.1641495002441062,2.8562634498456263
ank_18_29,1.1590437365118074,67,1.082792487063061,84,1.72137692421664,0.8222720805151268
ank_18_37,0.7280688338191383,49,0.6909371491668751,62,1.1882077910049509,0.6853060695928483
ank_18_39,0.6625474105699634,67,0.42081250779701146,59,0.5577647440013003,0.4912468908423992
ank_18_7,1.5234735018077954,76,1.439834335620832,111,1.4717950896989191,0.9149604216001004
ank_19_15,1.6849983424264996,61,1.0030920532518945,85,2.2459218272236035,0.8879017707105719
ank_19_33,3.2092345358418917,25,2.8837280945606065,35,4.40708762037093,2.8497433848778746
ank_19_6,2.500869795010381,56,2.4931537969231363,73,2.871917640679468,1.8038479447088245
ank_19_9,1.886640869903606,43,1.3838267404126054,71,2.3259264140256724,1.139362866400408
ank_1_34,2.8960165984752386,39,1.732134251620451,49,1.457474498093922,1.5943191363413445
ank_20_10,1.4134542060442363,85,0.5787487579125398,93,0.862631754020328,0.3641476955312506
ank_20_19,3.054985164324125,63,3.0470776769508223,73,2.675642917146452,2.717394008525763
ank_20_37,0.626033139143169,114,0.6607609278580266,163,0.6505948839877812,0.5454143851131332
ank_20_6,2.865918023765956,60,1.8827791181142572,84,2.2746188899857684,2.2896223677753573
ank_22_10,1.1517099347540276,103,0.7942479430250771,118,1.129093803990581,0.6346681512418301
ank_22_16,2.130548912570933,48,1.5699166528579471,59,2.6677505885544432,1.62029688590451
ank_22_37,1.5701902271450938,52,0.7061522288313211,59,1.0331726656094746,0.842502744062528
ank_23_14,2.2282657434963276,79,1.9381458539625858,75,1.6349420220522584,1.6922660225932804
ank_23_28,1.1222656566685503,85,0.599151625526377,97,0.7302598097156145,0.5875514387116665
ank_24_0,1.6337315654255946,79,1.5055365351753065,92,1.8836469959848103,1.2302294033508874
ank_24_12,2.720938789741028,45,2.6571594479414102,74,2.785569047538082,2.426484844545371
ank_24_14,1.2204075537812042,76,0.7003588911888154,80,1.3686518817685378,0.5484511087788317
ank_24_3,3.1355213693287585,61,2.9785978628305987,49,3.30007511287093,3.0409424038789616
ank_25_1,1.5546033017845238,104,0.9104058409214875,120,1.363483048411945,0.728374512381057
ank_25_14,2.2049501146732764,50,2.84706652936675,63,2.895155384646234,1.647810219641549
ank_25_16,2.6251479998807166,64,2.258707514925707,80,2.071990238963932,1.727730450054862
ank_25_37,1.3016927301833174,57,1.5458427630762874,70,2.046362384511358,1.233499889905687
ank_26_21,2.8427749638523077,34,1.1419404049046569,54,2.8953723863024603,1.851326377308994
ank_26_22,1.2006007475070886,49,1.122133264838627,66,1.5190531103142118,1.3000184164346955
ank_26_29,0.7048794771968182,157,0.684037037515419,226,0.7715100118154398,0.606199882098677
ank_26_3,1.3778618810876764,100,1.257823722259369,120,1.5444980216085953,0.8420281462787867
ank_26_35,3.49450754274116,34,3.3628753780306075,45,2.793737529363279,2.5425047018453437
ank_26_5,1.8948353944577896,86,1.0353140661507079,120,1.1698874367178145,0.8425264393503425
ank_27_14,3.5692837461647606,48,2.85232510389664,60,3.646902190750709,3.134738559330047
ank_27_40,2.656829365342901,54,2.1453930097877807,48,3.0415650315337737,2.6989977943888035
ank_28_27,1.6604990389243448,60,1.306806295313958,52,1.34905180073086,1.2445523522154789
ank_28_37,1.1573513829617053,118,0.7360072312018096,114,0.6906033800668303,0.6826302362513247
ank_28_38,1.499960848778824,63,1.5455242580470823,72,1.682531808863966,0.9392716393599098
ank_28_9,3.487865249499599,56,2.906312793549908,52,3.417763931667682,4.04707175579343
ank_29_0,1.7488746361203864,85,1.3078101576231087,111,0.9356113921270096,1.1283701114910114
ank_29_11,3.200620404911452,67,2.9691648534162156,54,2.5735868114607445,3.3223001745521676
ank_29_21,1.8917480302380394,47,1.6210555162354408,50,2.0904562136344915,1.7581918310549915
ank_29_24,1.1854053027720262,124,0.8186527262136397,176,0.8448699243219455,0.6202392284620022
ank_29_26,1.4478428873074574,60,0.853080726660601,93,1.1174394310629705,0.6994332636929947
ank_2_12,1.8531922913888443,101,1.8548790113516738,109,1.9519950361164753,1.5549402761324085
ank_2_23,2.031892940263054,58,1.1415290455108147,70,1.0610125317564552,0.6388412794073501
ank_30_30,0.7983611314437865,125,0.6131871453498552,163,0.6621963494877938,0.4842671549253561
ank_30_7,1.150476756721408,115,0.7024279241306154,114,0.9560925491183784,0.6246056949671772
ank_31_32,0.7690996901419197,145,0.554790835566283,229,0.6404482554189246,0.5118380077236014
ank_31_7,1.0733692894225206,130,0.7180956876970803,172,0.8616580128679997,0.4952874572420798
ank_32_12,3.64443434908477,47,3.2500441322674423,72,2.6170256219801264,2.457621675576765
ank_32_21,1.6218092828207886,69,1.231798442624328,91,1.3754260338728062,0.8292585016572039
ank_32_37,0.8364583394053963,146,0.6525385162461523,219,0.6769265378806125,0.5841106684851154
ank_33_25,0.7774896254489134,177,0.5963366136953411,222,0.6228255397600917,0.5669227128363076
ank_33_3,1.2156276612299242,98,0.9083981321587096,163,1.0850208220762552,0.7149750336979398
ank_33_34,0.8906275143556367,225,0.5702148569744445,280,0.5939434282147219,0.5006159730412332
ank_33_36,0.7880215028040807,107,0.5872789242703941,169,0.4964666821791499,0.4780729730913894
ank_34_11,1.4458867156321271,100,0.9220419878628264,162,0.976267409954508,0.5555435578656005
ank_34_15,2.3637835219238252,55,1.6197020468436643,88,2.3184663565528005,0.7551108714726373
ank_34_21,1.3780237790004402,51,1.0085959467336791,64,0.8990068048613674,0.6521734095355841
ank_34_30,0.8573198435276899,151,0.6454359317691549,190,0.6890021467365091,0.4670994488924977
ank_35_11,1.1454788829174225,114,0.8081969268348848,165,0.7912967263612201,0.6283488495713034
ank_35_28,0.8887661707584172,183,0.6651949211208142,250,0.7189080244243683,0.5040855542699036
ank_35_39,1.970133247451492,74,1.2676705128355452,89,2.255562277997639,1.463073742107515
ank_35_7,1.7701779706344594,96,0.9598272226208592,101,1.5280296271180704,0.9626610186765256
ank_36_40,2.8816770378194585,42,2.779819506982979,50,3.372861881837541,2.548660424551382
ank_38_19,3.1806037396255147,41,1.7989891546661105,31,2.739942881945937,2.7156931859657676
ank_38_22,0.8514462164957749,111,0.650570358271009,153,0.6610184648365367,0.5157292674035262
ank_38_24,0.9950508840997729,43,1.0937475646440193,65,2.4058721918770862,0.6878730432245863
ank_38_27,1.5192078973937946,63,1.1949265704942877,79,3.181430939959405,1.0784899077106065
ank_38_40,2.103041707655365,55,1.6841644164441691,60,3.2128551196387294,1.718767016653988
ank_38_9,0.7821707914450424,85,0.7582794589421338,110,0.7729893496688985,0.5994729172402316
ank_39_1,2.706970044061364,46,2.7940724303223186,52,3.3865632841044464,3.8024978560841425
ank_3_13,2.1008797464617386,70,1.8304143241809934,86,2.709680722633066,1.0209179027300286
