stem,C4_e1_med,C4_e1_n,C4_e2_med,C4_e2_n,C4_e5_med,C4_e5_n,C4_e10_med,C4_e10_n,C5_e1_med,C5_e1_n,C5_e2_med,C5_e2_n,C5_e5_med,C5_e5_n,C5_e10_med,C5_e10_n,C4_e20_med,C4_e20_n,C5_e20_med,C5_e20_n
ank_17_19,2.9914926650910743,50,2.3654810309228034,57,2.9105722127710756,52,1.9822348608248679,49,2.2818524298741965,56,2.9341485118000037,62,2.135071636400754,66,1.9138724587520068,77,2.5042137718209267,71,2.320984296811123,60
ank_17_22,2.5437389762107743,51,2.0792022069256983,58,2.9544988054316104,65,2.3509944746125226,59,2.016844175394212,74,1.8161814282986173,76,2.1246232058595678,82,1.8114193125903864,87,2.7885689208658273,57,1.6483037836967889,68
ank_17_31,1.0340465923314544,80,1.0187755169879014,111,0.8649360018549642,128,0.843122564659214,117,0.6854834686825035,132,0.5635610955026505,146,0.4862144811272838,176,0.5108279747671689,173,0.6857268411872264,113,0.5188315897684708,185
ank_17_32,1.9168615862253096,37,1.5859213102172278,39,1.8342193700859237,45,2.3107241497145172,31,1.9792213140994455,36,2.1556777280427544,63,1.084231038893967,58,1.2566840111143849,52,2.4132997075999807,42,0.7864024089332067,54
ank_18_16,1.920034921321235,56,2.390209518614276,57,2.671328728731666,65,2.408664513242423,60,1.5620691247730296,96,1.9439617250061016,84,1.6008754012021476,88,1.6207913942933834,75,2.9265269225351247,58,1.6890205978842936,98
ank_18_27,3.0090924764752196,49,2.9779286126690563,40,2.4749433769737768,46,2.3270358493299064,48,2.0739493219307454,61,2.5720400395292957,67,1.8275547264546714,74,2.0755734408459605,67,2.1641495002441062,65,2.8562634498456263,73
ank_18_29,1.1590437365118074,67,1.0833580050845364,91,1.5816230189860039,80,1.605712682414794,79,1.082792487063061,84,0.9683832798387068,95,0.7255855760728459,97,0.8274304673877815,113,1.72137692421664,77,0.8222720805151268,108
ank_18_37,0.7280688338191383,49,0.8885594613324017,56,0.6352394003296793,50,1.1990521563262224,55,0.6909371491668751,62,0.6631898522077914,67,0.5878639006691752,64,0.631008381793905,69,1.1882077910049509,42,0.6853060695928483,76
ank_18_39,0.6625474105699634,67,0.5640543308428327,60,0.5018908521089455,67,0.41650048727903166,61,0.42081250779701146,59,0.40811504279793615,72,0.42448705990758595,80,0.4529443042871426,83,0.5577647440013003,53,0.4912468908423992,90
ank_18_7,1.5234735018077954,76,1.4741049604083185,81,1.244182969073279,97,1.55781348383319,103,1.439834335620832,111,1.200387676127075,119,0.8844474456787196,107,0.8378700996952155,112,1.4717950896989191,81,0.9149604216001004,114
ank_19_15,1.6849983424264996,61,1.5449763399941405,81,1.4320951826781625,81,1.660072491364647,60,1.0030920532518945,85,1.0404042583105668,98,0.8116294137682145,94,0.8107421423810145,97,2.2459218272236035,73,0.8879017707105719,96
ank_19_33,3.2092345358418917,25,3.615746245092219,20,3.393974569726021,27,4.635149273187602,29,2.8837280945606065,35,2.3884833076311898,38,3.075812531267619,40,3.4136894180441866,35,4.40708762037093,20,2.8497433848778746,30
ank_19_6,2.500869795010381,56,2.140259562031973,55,2.713818686663684,48,3.088889191293053,54,2.4931537969231363,73,2.4749851684084896,71,1.7863474261111274,55,1.5926957205425896,73,2.871917640679468,55,1.8038479447088245,59
