stem,pre_med,pre_n,C2_med,C2_n
ank_40_19,1.059808318045326,81,0.5245905968098432,134
ank_40_2,3.5384579212473257,36,2.9382649383501955,48
ank_40_40,3.28750465661171,25,2.4560290679464525,44
ank_41_0,2.426187977116153,43,1.3627594718102383,63
ank_41_1,2.0345253557256497,38,2.537582287721738,49
ank_41_19,3.3341715937949523,28,2.1414455995464303,38
ank_41_40,3.098666632884822,25,3.6336190600558202,40
ank_4_23,3.839902619777315,32,1.7353152382288592,59
ank_4_41,3.667302818899143,35,0.8113976400834549,64
ank_5_12,1.2636424016899404,102,0.36421713495165087,210
ank_5_40,2.9529203820752095,11,3.374713863485502,19
ank_5_5,1.91496902998628,75,0.4355330748999568,146
ank_6_10,1.701941016175065,78,1.3054367485451337,109
ank_6_38,2.565681799046371,23,2.366985179001101,16
ank_7_36,4.879859744562963,15,4.246602807032904,24
ank_7_8,2.5132355566538624,87,1.2952912956695963,97
ank_8_19,3.894557755594142,36,3.3172205114718634,53
ank_8_22,2.9705626908333747,54,0.7004301417627563,85
ank_8_31,2.4848005592675184,22,1.6029968108980723,49
ank_8_41,1.38301893146909,58,0.46133240869402103,130
ank_9_1,1.968581326970428,57,1.1897244351396077,79
ank_9_24,3.1044634959965274,36,0.6076156928579772,80
ank_9_25,3.886089116765112,47,0.4764737880729194,78
