stem,silent_frac,ref_edge,pretrained,C2
ank_17_31,0.9542166820560173,0.9022457866301105,0.9895430678136521,0.6329125237403642
ank_17_32,0.971375807940905,0.6293567807351077,1.2500629326620516,0.3602580239144116
ank_18_16,0.8534164358264081,0.7465737985754215,1.167627789016032,0.1610760544669545
ank_18_27,0.9496191135734072,0.8217968196090347,0.908252810096628,0.19500591599290082
ank_18_29,0.8474338257925516,0.8875899484711597,0.9290299480831693,0.35871205340016876
ank_18_37,0.7458064019698368,0.7532370389476399,1.1211861795021059,0.2449063452385029
ank_18_39,0.8321021852877809,0.7714536711670057,1.0882828888222955,0.29418639496553795
ank_18_7,0.7730455524776855,0.8170009456029463,0.963511208576998,0.24552266081871343
ank_19_15,0.8262157586949831,0.8659138533178115,0.9867709929821731,0.32142184937215995
ank_19_33,0.9989035087719298,0.841180888555087,0.9234890109890109,0.10112179487179487
ank_19_6,0.8849838411819021,0.6214976632974677,1.1472789591494124,0.0693900391717963
ank_19_9,0.8895814096645122,0.8960730040653923,0.907910613446595,0.16311115401322457
ank_1_34,0.8960257002154509,0.790785547134975,1.0774284628332518,0.4412499321279253
ank_20_10,0.884599107417667,0.9170599108404914,0.949443930663252,0.42794811600388893
ank_20_19,0.9560826408125577,0.6830446067483552,1.1714975845410627,0.12201013314480971
ank_20_37,0.6025892582333026,0.9261612130885873,1.0020681097476907,0.6593478560595616
ank_20_6,0.8065366266543552,0.6077706489851409,1.3456165136174554,0.08095910839023623
ank_22_10,0.697329947676208,0.8086896551724138,1.060105747910626,0.36285178236397747
ank_22_16,0.858264081255771,0.73191231845078,0.9983157250038279,0.046332873985607106
ank_22_37,0.8751154201292706,0.9195902576277147,1.0119280967633981,0.5180475211550414
ank_23_14,0.817174515235457,0.8291666666666667,0.7514976009993469,0.07313403174062402
ank_23_28,0.5041551246537396,0.7886523199023199,1.1316948086506362,0.7656877449320237
ank_24_0,0.7024084333641121,0.5229501013309963,1.474050798638387,0.10432050274941085
ank_24_12,0.815597106802093,0.8796877211189207,0.8355899938332843,0.19148993216612598
ank_24_14,0.7818751923668821,0.8632304096444827,0.9873738813201847,0.2103688080715955
ank_24_3,0.9721645121575869,0.7070463224963888,0.4774991604164334,0.0483879995522221
ank_25_1,0.6072637734687596,0.6977318803852002,1.1170434940524836,0.4149187324071552
ank_25_14,0.8640158510310865,0.5195369030390738,1.3610884936790228,0.06638097278765802
ank_25_16,0.9013927362265313,0.8222928848862521,0.37351742752588823,0.07580908878565311
ank_25_37,0.7393621114188981,0.9232210225055288,0.9335193326569721,0.15801487994589108
ank_26_21,0.802670052323792,0.7761347840674879,0.9415161340126601,0.11304616334722864
ank_26_22,0.6986188057863958,0.7504474488531542,1.0270052102443679,0.26873119542085566
ank_26_29,0.24546014158202523,0.8692789968652037,1.0355210962856114,0.8470970068517851
ank_26_3,0.7558287165281625,0.7104680461174314,0.7612036539494895,0.06079168905606305
ank_26_35,0.8763273314866112,0.8574031390626715,0.9960060421413758,0.19706085665275608
ank_26_5,0.5384733764235149,0.7667190625893112,0.9480477122355793,0.27406579069984155
ank_27_14,0.9640851031086488,0.8325119221022806,0.5081130311818421,0.056227979771349135
ank_27_40,0.8781548168667282,0.9024315443592552,0.7437615302456548,0.11474414991746772
ank_28_27,0.8970644813788858,0.728175326485536,1.243661100803958,0.38171805518744295
ank_28_37,0.5071945213911973,0.8646362739892286,1.0590428565162082,0.5831907707154449
ank_28_38,0.8922745460141582,0.8566962745774405,0.9665802652439792,0.07602486347736367
ank_28_9,0.8679786088027085,0.4722634693380023,1.2337979257590688,0.11619503496175324
ank_29_0,0.5865458602646968,0.8380177757371028,1.033695992485911,0.3171963055729493
ank_29_11,0.9960757156048015,0.5458864426419467,0.958678270713932,0.04822047689804004
ank_29_21,0.8362380732533087,0.8828184306779232,0.7760898454803659,0.09586471063397348
ank_29_24,0.8373153277931671,0.8632572885795023,1.0614770459081837,0.6569261477045908
ank_29_26,0.8854839950754079,0.8754100497490821,0.9819336906889021,0.37321322215604524
ank_2_12,0.8373730378578024,0.5757638410291753,0.5948210509516019,0.05155009376371543
ank_2_23,0.9355763311788242,0.8674000205613241,1.079244299056559,0.5867112312141468
