set,arm,band,matcher,chip,med,n
ank130,C1,rgb,klt,ank_16_9,1.4703328021494089,69
ank130,C1,rgb,klt,ank_17_17,4.080957798949764,59
ank130,C1,rgb,klt,ank_17_19,2.8755574512980004,65
ank130,C1,rgb,klt,ank_17_22,3.5465699116478566,57
ank130,C1,rgb,klt,ank_17_31,0.6077804664519635,120
ank130,C1,rgb,klt,ank_17_32,2.829996212117352,43
ank130,C1,rgb,klt,ank_18_16,2.1110728937061576,55
ank130,C1,rgb,klt,ank_18_27,3.18392798021887,53
ank130,C1,rgb,klt,ank_18_29,1.0284479591902742,73
ank130,C1,rgb,klt,ank_18_37,0.7924796155009866,56
ank130,C1,rgb,klt,ank_18_39,0.7232365564851931,55
ank130,C1,rgb,klt,ank_18_7,1.0469852575539569,84
ank130,C1,rgb,klt,ank_19_15,1.3576652853808646,69
ank130,C1,rgb,klt,ank_19_33,3.575423940018337,29
ank130,C1,rgb,klt,ank_19_6,2.5449363490947214,66
ank130,C1,rgb,klt,ank_19_9,1.8279226236338968,61
ank130,C1,rgb,klt,ank_1_34,1.608197902523688,47
ank130,C1,rgb,klt,ank_20_10,0.6243450802446036,113
ank130,C1,rgb,klt,ank_20_19,3.975234615271571,24
ank130,C1,rgb,klt,ank_20_37,0.5664083325198206,139
ank130,C1,rgb,klt,ank_20_6,3.681078444880024,50
ank130,C1,rgb,klt,ank_22_10,1.1274695416940932,108
ank130,C1,rgb,klt,ank_22_16,2.949409793774824,57
ank130,C1,rgb,klt,ank_22_37,1.2644815904971185,59
ank130,C1,rgb,klt,ank_23_14,2.935885360949574,52
ank130,C1,rgb,klt,ank_23_28,0.6268245258311119,93
ank130,C1,rgb,klt,ank_24_0,2.4792194444263074,79
ank130,C1,rgb,klt,ank_24_12,2.2490538427097904,42
ank130,C1,rgb,klt,ank_24_14,1.4131770586948411,74
ank130,C1,rgb,klt,ank_24_3,2.864927374829485,59
ank130,C1,rgb,klt,ank_25_1,1.5248833278463954,102
ank130,C1,rgb,klt,ank_25_14,2.8023619004145432,64
ank130,C1,rgb,klt,ank_25_16,2.356482357711994,54
ank130,C1,rgb,klt,ank_25_37,1.7788730290956276,71
ank130,C1,rgb,klt,ank_26_21,2.741008096435464,38
ank130,C1,rgb,klt,ank_26_22,1.8048671006640489,37
ank130,C1,rgb,klt,ank_26_29,0.7103899709716163,266
ank130,C1,rgb,klt,ank_26_3,1.3866114865993708,72
ank130,C1,rgb,klt,ank_26_35,2.986497538829277,42
ank130,C1,rgb,klt,ank_26_5,1.2679324630592357,119
ank130,C1,rgb,klt,ank_27_14,3.184952558794532,55
ank130,C1,rgb,klt,ank_27_40,2.426731249392337,45
ank130,C1,rgb,klt,ank_28_27,1.4729611851578277,50
ank130,C1,rgb,klt,ank_28_37,0.6148310383329665,167
ank130,C1,rgb,klt,ank_28_38,1.7402209890911102,47
ank130,C1,rgb,klt,ank_28_9,3.169120050745941,46
ank130,C1,rgb,klt,ank_29_0,2.040294235224473,66
ank130,C1,rgb,klt,ank_29_11,4.151796457092824,58
ank130,C1,rgb,klt,ank_29_21,2.5917983095370074,43
ank130,C1,rgb,klt,ank_29_24,0.7622009988278138,124
ank130,C1,rgb,klt,ank_29_26,0.8869290211240087,81
ank130,C1,rgb,klt,ank_2_12,1.8488372706486025,68
ank130,C1,rgb,klt,ank_2_23,1.1042515221722349,58
ank130,C1,rgb,klt,ank_30_30,0.5660784029817222,124
ank130,C1,rgb,klt,ank_30_7,1.5469717650218764,103
ank130,C1,rgb,klt,ank_31_32,0.5092138199390996,198
ank130,C1,rgb,klt,ank_31_7,0.9334256799529206,111
ank130,C1,rgb,klt,ank_32_12,3.543639996974869,45
ank130,C1,rgb,klt,ank_32_21,0.9857569341239544,88
ank130,C1,rgb,klt,ank_32_37,0.610517702999386,220
ank130,C1,rgb,klt,ank_33_25,0.657771262057562,214
ank130,C1,rgb,klt,ank_33_3,1.0181896766266023,111
ank130,C1,rgb,klt,ank_33_34,0.5404765875113329,331
ank130,C1,rgb,klt,ank_33_36,0.5936773949009172,191
ank130,C1,rgb,klt,ank_34_11,1.305203200609819,92
ank130,C1,rgb,klt,ank_34_15,1.2473490565322642,84
ank130,C1,rgb,klt,ank_34_21,0.789317538417043,62
ank130,C1,rgb,klt,ank_34_30,0.4695065329589796,173
ank130,C1,rgb,klt,ank_35_11,1.0271082610721134,104
ank130,C1,rgb,klt,ank_35_28,0.6798286163993654,254
ank130,C1,rgb,klt,ank_35_39,1.7829067464602768,67
ank130,C1,rgb,klt,ank_35_7,1.554328497374863,76
ank130,C1,rgb,klt,ank_36_40,3.650059680660775,51
ank130,C1,rgb,klt,ank_38_19,3.473009974556871,31
ank130,C1,rgb,klt,ank_38_22,0.5181827495305769,146
ank130,C1,rgb,klt,ank_38_24,1.7426444983471063,56
ank130,C1,rgb,klt,ank_38_27,1.3532223503845628,62
ank130,C1,rgb,klt,ank_38_40,2.420748115517086,36
ank130,C1,rgb,klt,ank_38_9,0.8705936608907947,97
ank130,C1,rgb,klt,ank_39_1,3.52233105225224,48
ank130,C1,rgb,klt,ank_3_13,2.8476216397629504,52
ank130,C1,rgb,klt,ank_3_25,3.611122189788926,38
ank130,C1,rgb,klt,ank_3_29,3.3228252324658576,17
ank130,C1,rgb,klt,ank_3_34,0.8825105826507691,79
ank130,C1,rgb,klt,ank_3_39,3.1616342918195315,34
ank130,C1,rgb,klt,ank_3_9,1.6181411376305608,70
ank130,C1,rgb,klt,ank_40_19,0.6238103362466808,100
ank130,C1,rgb,klt,ank_40_2,3.676383095929639,52
ank130,C1,rgb,klt,ank_40_40,4.8985907254702035,25
ank130,C1,rgb,klt,ank_41_0,2.694807015210188,58
ank130,C1,rgb,klt,ank_41_1,3.258922276424344,28
ank130,C1,rgb,klt,ank_41_19,3.2279290834105385,30
ank130,C1,rgb,klt,ank_41_40,3.7981261846204033,40
ank130,C1,rgb,klt,ank_4_23,1.9134234272950696,51
ank130,C1,rgb,klt,ank_4_41,1.6784378294264015,33
ank130,C1,rgb,klt,ank_5_12,0.8135802292861791,122
ank130,C1,rgb,klt,ank_5_40,3.303897163355096,21
ank130,C1,rgb,klt,ank_5_5,1.8508809953759344,75
ank130,C1,rgb,klt,ank_6_10,3.1650110758835472,62
ank130,C1,rgb,klt,ank_6_38,1.7171732668755078,14
ank130,C1,rgb,klt,ank_7_36,3.5360273125902575,16
ank130,C1,rgb,klt,ank_7_8,2.96828132815535,93
ank130,C1,rgb,klt,ank_8_19,3.7406981138739654,58
ank130,C1,rgb,klt,ank_8_22,1.6303168483537058,59
ank130,C1,rgb,klt,ank_8_31,1.0723421171749756,29
ank130,C1,rgb,klt,ank_8_41,0.5757830894320346,105
ank130,C1,rgb,klt,ank_9_1,2.7185992986954934,71
ank130,C1,rgb,klt,ank_9_24,1.6436596880629888,56
ank130,C1,rgb,klt,ank_9_25,0.981036885097508,47
ank130,C2,rgb,klt,ank_0_10,1.0149354295487538,65
ank130,C2,rgb,klt,ank_0_16,0.4725213222118088,104
ank130,C2,rgb,klt,ank_0_30,3.3332707388128595,24
ank130,C2,rgb,klt,ank_0_41,0.852308599360555,52
ank130,C2,rgb,klt,ank_10_1,0.5526770785171392,147
ank130,C2,rgb,klt,ank_11_14,0.7247096211311514,108
ank130,C2,rgb,klt,ank_12_21,3.397959734278238,51
ank130,C2,rgb,klt,ank_12_28,3.848841754794837,27
ank130,C2,rgb,klt,ank_12_35,0.3894968768595762,238
ank130,C2,rgb,klt,ank_13_12,0.6454909229298132,113
ank130,C2,rgb,klt,ank_13_17,0.964220494130793,62
ank130,C2,rgb,klt,ank_13_21,2.295003023831257,51
ank130,C2,rgb,klt,ank_13_29,1.2977392237636407,42
ank130,C2,rgb,klt,ank_13_34,2.011038390603862,27
ank130,C2,rgb,klt,ank_13_6,0.549861279880622,160
ank130,C2,rgb,klt,ank_14_33,0.8383305996689803,57
ank130,C2,rgb,klt,ank_14_9,0.6485802274215127,80
ank130,C2,rgb,klt,ank_15_22,1.437723933263442,65
ank130,C2,rgb,klt,ank_15_41,2.158739563584745,50
ank130,C2,rgb,klt,ank_15_6,0.4067527448949116,149
ank130,C2,rgb,klt,ank_16_36,4.4455966582722155,21
ank130,C2,rgb,klt,ank_16_9,0.5965021210382703,107
ank130,C2,rgb,klt,ank_17_17,2.4565176045191808,47
ank130,C2,rgb,klt,ank_17_19,1.5540510179125655,75
ank130,C2,rgb,klt,ank_17_22,2.8998233821508883,44
ank130,C2,rgb,klt,ank_17_31,0.463506591990411,174
ank130,C2,rgb,klt,ank_17_32,1.6304446953954774,62
ank130,C2,rgb,klt,ank_18_16,1.6438518935143716,75
ank130,C2,rgb,klt,ank_18_27,2.0615035801848896,56
ank130,C2,rgb,klt,ank_18_29,0.6444990082902755,90
ank130,C2,rgb,klt,ank_18_37,0.6414900432654511,61
ank130,C2,rgb,klt,ank_18_39,0.3714517628943704,94
ank130,C2,rgb,klt,ank_18_7,1.0566053411372716,97
ank130,C2,rgb,klt,ank_19_15,0.6917285183317134,87
ank130,C2,rgb,klt,ank_19_33,3.005453919217284,22
ank130,C2,rgb,klt,ank_19_6,1.809936806564279,67
ank130,C2,rgb,klt,ank_19_9,1.218575961849944,70
ank130,C2,rgb,klt,ank_1_34,1.152202112165735,67
ank130,C2,rgb,klt,ank_20_10,0.3896793071403552,159
ank130,C2,rgb,klt,ank_20_19,2.6371502190734697,54
ank130,C2,rgb,klt,ank_20_37,0.5427697294529179,212
ank130,C2,rgb,klt,ank_20_6,2.13764460759085,72
ank130,C2,rgb,klt,ank_22_10,0.5543922085525592,136
ank130,C2,rgb,klt,ank_22_16,1.7442415879349185,50
ank130,C2,rgb,klt,ank_22_37,0.8014649420011895,83
ank130,C2,rgb,klt,ank_23_14,1.3776934986856797,54
ank130,C2,rgb,klt,ank_23_28,0.498807715306869,155
ank130,C2,rgb,klt,ank_24_0,1.4460434049118405,111
ank130,C2,rgb,klt,ank_24_12,1.2868688590858692,50
ank130,C2,rgb,klt,ank_24_14,0.4420115161203137,102
ank130,C2,rgb,klt,ank_24_3,2.876906504640699,43
ank130,C2,rgb,klt,ank_25_1,1.0383937622918609,153
ank130,C2,rgb,klt,ank_25_14,1.832869866277535,50
ank130,C2,rgb,klt,ank_25_16,1.421940598874978,68
ank130,C2,rgb,klt,ank_25_37,0.9257038907413376,70
ank130,C2,rgb,klt,ank_26_21,1.171065405570968,51
ank130,C2,rgb,klt,ank_26_22,0.8392594316257415,60
ank130,C2,rgb,klt,ank_26_29,0.5876671279014386,359
ank130,C2,rgb,klt,ank_26_3,0.962920458078096,128
ank130,C2,rgb,klt,ank_26_35,3.2018816668050816,34
ank130,C2,rgb,klt,ank_26_5,0.5950375362536717,130
ank130,C2,rgb,klt,ank_27_14,3.4291154478350037,44
ank130,C2,rgb,klt,ank_27_40,2.3217661225981487,44
ank130,C2,rgb,klt,ank_28_27,0.9845557307574624,60
ank130,C2,rgb,klt,ank_28_37,0.6296833170354083,193
ank130,C2,rgb,klt,ank_28_38,1.3084428805012849,47
ank130,C2,rgb,klt,ank_28_9,3.210338767809523,61
ank130,C2,rgb,klt,ank_29_0,0.7971331919736093,76
ank130,C2,rgb,klt,ank_29_11,2.471419976003354,41
ank130,C2,rgb,klt,ank_29_21,1.5662013462394404,51
ank130,C2,rgb,klt,ank_29_24,0.603242388673271,189
ank130,C2,rgb,klt,ank_29_26,0.5766254405118678,95
ank130,C2,rgb,klt,ank_2_12,1.019406210690357,101
ank130,C2,rgb,klt,ank_2_23,0.7439869514642954,76
ank130,C2,rgb,klt,ank_30_30,0.4208278448282339,187
ank130,C2,rgb,klt,ank_30_7,0.7097965821920265,142
ank130,C2,rgb,klt,ank_31_32,0.5022574856319099,293
