sitevar,arm,stem,stratum,n_mean32,med_mean32,n_single,med_single,delta
ank_overpass,C2,ank_30_30,5,200,0.42464244207681473,187,0.4208278448282339,0.0038145972485808533
ank_overpass,C2,ank_30_7,5,139,0.713573189493229,142,0.7097965821920265,0.0037766073012025503
ank_overpass,C2,ank_31_32,5,294,0.5088251566798314,293,0.5022574856319099,0.006567671047921553
ank_overpass,C2,ank_31_7,5,187,0.4507249288191257,197,0.5079265007148945,-0.057201571895768855
ank_overpass,C2,ank_32_12,3,55,3.285881297975476,75,3.0559965295657636,0.2298847684097125
ank_overpass,C2,ank_32_21,4,111,0.9220523358897007,109,0.8356272521166039,0.08642508377309677
ank_overpass,C2,ank_32_37,5,313,0.5586976575656457,316,0.5673116742253552,-0.008614016659709511
ank_overpass,C2,ank_33_25,5,256,0.5213787226958132,266,0.5298101854786792,-0.008431462782865995
ank_overpass,C2,ank_33_3,5,212,0.5471206213625901,207,0.5285886818562793,0.018531939506310824
ank_overpass,C2,ank_33_34,5,472,0.4648879338412188,479,0.4556633313755585,0.009224602465660314
ank_overpass,C2,ank_33_36,5,282,0.4723546140267767,279,0.4499446465866023,0.022409967440174372
ank_overpass,C2,ank_34_11,5,195,0.5572027501656682,196,0.5816693339855743,-0.024466583819906074
ank_overpass,C2,ank_34_15,5,71,0.8501640544495985,85,0.8399524116853312,0.010211642764267337
ank_overpass,C2,ank_34_21,5,103,0.5847591646537059,84,0.5083716019979065,0.07638756265579938
ank_overpass,C2,ank_34_30,5,309,0.5290977148880781,312,0.5414120876482644,-0.01231437276018632
ank_overpass,C2,ank_35_11,5,175,0.6010795271602599,185,0.5524479629337832,0.04863156422647674
ank_overpass,C2,ank_35_28,5,378,0.48638676085612664,408,0.4771187690581181,0.009267991798008524
ank_overpass,C2,ank_35_39,3,78,0.8152445407071145,69,0.5906188320969932,0.22462570861012132
ank_overpass,C2,ank_35_7,4,103,0.6580782824203902,118,0.7383310369848441,-0.08025275456445391
ank_overpass,C2,ank_36_40,1,46,2.24247999737008,54,2.98641088364331,-0.7439308862732297
ank_overpass,C2,ank_38_19,2,21,3.0041569453106356,27,2.794818809823465,0.20933813548717062
ank_overpass,C2,ank_38_22,5,223,0.48534319087480077,214,0.48693306291153127,-0.0015898720367304997
ank_overpass,C2,ank_38_24,4,65,0.8680094323985327,65,0.9282048402109847,-0.06019540781245203
ank_overpass,C2,ank_38_27,4,94,1.1429021282880285,72,1.1399744536200602,0.002927674667968283
ank_overpass,C2,ank_38_40,2,44,1.2313957637585191,53,1.6101347386064622,-0.37873897484794306
ank_overpass,C2,ank_38_9,5,143,0.626758383595855,147,0.5841616985271202,0.04259668506873482
ank_overpass,C2,ank_39_1,1,39,3.115346640530456,55,2.835716256757162,0.2796303837732941
ank_overpass,C2,ank_3_13,2,74,1.0251438548690066,67,0.858501258776104,0.16664259609290266
ank_overpass,C2,ank_3_25,1,51,1.8767799732248203,59,2.134243111707038,-0.2574631384822177
ank_overpass,C2,ank_3_29,1,16,3.4802420360786828,21,3.2257911038026514,0.2544509322760313
ank_overpass,C2,ank_3_34,2,114,0.5672926259530058,116,0.47484226942331687,0.09245035652968892
ank_overpass,C2,ank_3_39,4,42,1.0392649861959908,32,0.9126096484876194,0.12665533770837145
ank_overpass,C2,ank_3_9,3,99,1.0843376152743074,98,1.2664108313485707,-0.1820732160742633
ank_overpass,C2,ank_40_19,4,121,0.4554163953032989,124,0.5374124268001217,-0.08199603149682277
ank_overpass,C2,ank_40_2,2,45,2.8410625494033126,46,2.018987517103441,0.8220750322998716
ank_overpass,C2,ank_40_40,1,41,3.4766463504602423,57,2.3306649661876757,1.1459813842725666
ank_overpass,C2,ank_41_0,2,51,0.9492987639998867,70,1.244248917733641,-0.29495015373375444
ank_overpass,C2,ank_41_1,3,50,2.198410257503643,43,2.419860540518488,-0.22145028301484526
ank_overpass,C2,ank_41_19,2,40,2.4175903137597965,35,1.994165439008134,0.42342487475166246
ank_overpass,C2,ank_41_40,1,34,3.230777161008101,26,2.9209696535974383,0.30980750741066254
ank_overpass,C2,ank_4_23,2,49,0.9618303652023313,49,2.0125235894090783,-1.0506932242067468
ank_overpass,C2,ank_4_41,2,46,0.8207742172487145,53,0.9435229697365307,-0.12274875248781625
ank_overpass,C2,ank_5_12,4,180,0.34610718014991093,208,0.33958030474994416,0.0065268753999667695
ank_overpass,C2,ank_5_40,1,15,3.9435755017995584,14,3.8096591401636033,0.1339163616359551
ank_overpass,C2,ank_5_5,4,119,0.3941861501438371,123,0.45612895495689376,-0.06194280481305664
ank_overpass,C2,ank_6_10,3,100,1.6317113999543855,98,1.2379506487353265,0.39376075121905907
ank_overpass,C2,ank_6_38,1,14,1.9924031638979276,15,2.2799928841208623,-0.2875897202229347
ank_overpass,C2,ank_7_36,1,18,3.972645647451416,24,4.345727543799041,-0.37308189634762456
ank_overpass,C2,ank_7_8,2,96,0.7127000211378243,118,1.1034106780833217,-0.39071065694549745
ank_overpass,C2,ank_8_19,1,39,2.4623557045675226,44,2.402369667511601,0.05998603705592176
ank_overpass,C2,ank_8_22,3,76,0.7810623069625298,80,0.7714347745845727,0.009627532377957104
ank_overpass,C2,ank_8_31,2,40,1.8861233112132212,44,1.940852646874725,-0.05472933566150373
ank_overpass,C2,ank_8_41,3,135,0.4203735791073559,131,0.43596708069896345,-0.01559350159160755
ank_overpass,C2,ank_9_1,3,70,1.2069057173124733,70,1.3129314551422484,-0.10602573782977509
ank_overpass,C2,ank_9_24,2,82,0.5956319044898825,77,0.7517423633072704,-0.15611045881738794
ank_overpass,C2,ank_9_25,1,83,0.4037781575297987,76,0.45463092039675185,-0.05085276286695317
ank_prod,pretrained,ank_0_30,1,30,3.8980101297314445,17,4.8414673808826905,-0.943457251151246
ank_prod,pretrained,ank_13_34,1,31,3.5518637818180046,22,3.2156987228443468,0.3361650589736578
ank_prod,pretrained,ank_13_6,4,69,3.3593227106526364,69,2.9579336458362278,0.4013890648164087
ank_prod,pretrained,ank_17_22,3,56,2.526367848426603,42,3.387724257257142,-0.8613564088305394
ank_prod,pretrained,ank_18_7,4,48,2.4180029241400094,64,3.1400245759318217,-0.7220216517918123
ank_prod,pretrained,ank_20_6,3,62,2.4857953553747745,57,2.672259136558558,-0.1864637811837837
ank_prod,pretrained,ank_22_16,2,35,3.2508883170832896,38,2.0977976830942238,1.1530906339890659
ank_prod,pretrained,ank_22_37,4,35,2.1801216068445,39,2.758215287093172,-0.578093680248672
ank_prod,pretrained,ank_24_3,1,70,3.4541180460581726,51,3.061256687838505,0.3928613582196676
ank_prod,pretrained,ank_25_16,2,64,3.8783873323331948,46,3.0794028377864553,0.7989844945467395
ank_prod,pretrained,ank_26_3,4,54,4.018407894439534,59,3.5546826152505067,0.4637252791890272
ank_prod,pretrained,ank_26_5,5,56,3.0935653518388886,57,2.6331931305740945,0.46037222126479405
ank_prod,pretrained,ank_27_14,1,52,3.5055919472141817,49,2.883961166734424,0.6216307804797578
ank_prod,pretrained,ank_29_21,3,44,2.3123094525511254,49,2.126934046167584,0.18537540638354155
ank_prod,pretrained,ank_2_12,3,57,2.8702387088506285,60,2.6425700444679254,0.22766866438270306
ank_prod,pretrained,ank_33_3,5,75,1.9225118225986337,89,2.0122761375326523,-0.0897643149340186
ank_prod,pretrained,ank_33_34,5,154,0.9824348886307955,160,1.0790754956524875,-0.09664060702169197
ank_prod,pretrained,ank_34_11,5,80,2.634327437787265,63,2.2269973521278335,0.4073300856594315
ank_prod,pretrained,ank_35_11,5,76,2.1841838435721233,88,1.8485702724897126,0.33561357108241063
ank_prod,pretrained,ank_38_22,5,75,0.9022081367648376,69,1.0098227960069368,-0.10761465924209923
ank_prod,pretrained,ank_3_13,2,52,3.1671878289952864,36,2.7434119565127255,0.4237758724825609
ank_prod,pretrained,ank_4_41,2,27,3.7744882450844037,35,3.258429125928026,0.5160591191563779
ank_prod,pretrained,ank_5_12,4,44,2.506922092168562,47,2.6451180702261627,-0.13819597805760075
ank_prod,pretrained,ank_5_5,4,77,1.255284688074772,94,1.81880516385875,-0.563520475783978
ank_prod,pretrained,ank_6_10,3,73,3.4220639401911135,79,3.431307052821445,-0.009243112630331396
ank_prod,pretrained,ank_7_36,1,17,3.723980991691523,10,3.3991016135090293,0.3248793781824939
ank_prod,pretrained,ank_7_8,2,65,3.0288999768793703,55,3.1360218893090797,-0.10712191242970937
ank_prod,pretrained,ank_8_31,2,28,2.298136052893732,37,2.4382662937162567,-0.14013024082252468
ank_prod,pretrained,ank_9_1,3,43,3.267207517546503,45,3.018522204442646,0.2486853131038571
ank_prod,pretrained,ank_9_25,1,42,3.824882657304112,31,3.9722412911911693,-0.14735863388705717
ank_prod,C1,ank_0_30,1,36,4.716528216244605,46,3.8844973145883244,0.8320309016562804
ank_prod,C1,ank_13_34,1,26,4.030608180793786,24,4.115992038754518,-0.085383857960732
ank_prod,C1,ank_13_6,4,60,3.2793660205424127,58,2.890151981591886,0.38921403895052675
ank_prod,C1,ank_17_22,3,48,3.140925843866915,56,2.63501762102078,0.5059082228461351
ank_prod,C1,ank_18_7,4,92,1.1583029602894648,78,1.3648258707163357,-0.20652291042687088
ank_prod,C1,ank_20_6,3,55,3.5249093664584414,52,3.1155518285821246,0.4093575378763168
ank_prod,C1,ank_22_16,2,45,3.2846361722487365,38,3.3873727153216793,-0.10273654307294278
ank_prod,C1,ank_22_37,4,42,1.1006907166520277,46,0.9895936693478874,0.11109704730414027
ank_prod,C1,ank_24_3,1,55,2.923374120379285,47,2.9790160164405313,-0.05564189606124614
ank_prod,C1,ank_25_16,2,59,2.2551840131777494,76,2.3495239917562407,-0.0943399785784913
ank_prod,C1,ank_26_3,4,50,2.8535021517348262,58,2.8354903167224585,0.018011835012367694
ank_prod,C1,ank_26_5,5,79,2.713208436391176,55,3.262928009418309,-0.5497195730271329
ank_prod,C1,ank_27_14,1,52,3.917333949716302,57,3.8961734568903266,0.021160492825975652
ank_prod,C1,ank_29_21,3,35,2.812679575095217,62,2.390226123554418,0.42245345154079894
ank_prod,C1,ank_2_12,3,64,2.6729858364004078,61,3.0097279634972063,-0.3367421270967985
