stem,pre_med,pre_n,C1_e1_med,C1_e1_n,C1_e2_med,C1_e2_n,C1_e5_med,C1_e5_n,C1_e10_med,C1_e10_n,C1_e20_med,C1_e20_n,C2_e1_med,C2_e1_n,C2_e2_med,C2_e2_n,C2_e5_med,C2_e5_n,C2_e10_med,C2_e10_n,C2_e20_med,C2_e20_n
ank_29_0,1.835207884054358,69,2.1547620477306935,75,1.8074692163318844,76,1.5406188990810294,90,1.1536780823475121,78,2.040294235224473,66,1.2779275467353308,102,0.9687731848252196,94,1.0034705728049007,96,0.9636162221015908,77,0.7971331919736093,76
ank_29_11,3.9944975115326615,42,4.220229131489354,44,3.4643439864747183,34,3.478918721896295,56,3.2236153884292573,50,4.151796457092824,58,3.551874553171327,42,3.183201232687425,39,3.209332316395394,46,2.343395932055586,44,2.471419976003354,41
ank_29_21,2.7096024964517307,37,2.2223930257983793,46,1.8768572504726366,40,1.8746082793697854,48,2.5694084290175216,41,2.5917983095370074,43,2.1620113101385394,48,1.3848009943635113,47,2.1564994108148072,53,1.2195367490810425,52,1.5662013462394404,51
ank_29_24,1.8262782035956349,77,0.9954487659615966,81,0.8956147580451382,105,0.7860950978081978,131,0.7958378574140021,143,0.7622009988278138,124,0.7294218497768572,148,0.6395744431956445,222,0.6001619465912705,204,0.5960053685502308,179,0.603242388673271,189
ank_29_26,3.720947211507616,42,1.8063032226572038,55,1.4250223102634216,73,0.7532362526064911,75,0.6358104221189048,84,0.8869290211240087,81,1.2023079861074715,98,0.7397850661276169,107,0.6145641425315524,104,0.6556750823816473,105,0.5766254405118678,95
ank_2_12,1.978966927870006,77,1.9760589667474615,82,1.6406877891689327,84,1.8221553026803863,89,1.7433123314585166,83,1.8488372706486023,68,1.3672128455148729,105,1.3610432370188408,88,1.0156272742666623,89,0.9242396586208939,98,1.019406210690357,101
ank_2_23,2.769826729071904,41,2.005434877783841,45,1.6249096351499734,47,0.9705626662812968,53,1.143809062858184,50,1.1042515221722349,58,0.8169448504348258,70,0.9050581234877562,57,0.6915493604895818,64,0.7349139687089274,66,0.7439869514642954,76
ank_30_30,1.2229625608541594,84,0.834310678871522,113,0.6990899609372967,120,0.47860997235629293,128,0.6303069407457785,117,0.5660784029817222,124,0.5361481029635724,171,0.4755582515503602,201,0.4498724057355757,210,0.4094051054341231,186,0.4208278448282339,187
ank_30_7,2.143560212861101,85,1.3389346363359453,106,0.8298928593140654,99,1.0492541364001673,119,1.2382031565272111,130,1.5469717650218764,103,0.6876234730537396,105,0.6261238577232591,119,0.6825880390853605,127,0.71465489559236,128,0.7097965821920265,142
ank_31_32,1.2935808705680123,110,0.7323113008234476,133,0.6998389819479774,169,0.5207818092194212,212,0.5631462810677093,192,0.5092138199390996,198,0.5549661085294141,225,0.5130789539615307,267,0.5112159103744027,277,0.47157019719490545,277,0.5022574856319099,293
ank_31_7,1.5562532140569327,106,1.1113059528338423,130,0.8171031830899904,138,0.6450601637582547,128,0.8307826384428929,115,0.9334256799529206,111,0.48813223247193827,173,0.4535530799935003,181,0.43751821586739886,178,0.4138126426936153,187,0.5079265007148945,197
ank_32_12,3.526263112122079,43,3.092904810556622,54,3.3786007989312457,57,2.6144786041106953,69,3.245359594414169,49,3.543639996974869,45,3.3996545755072622,62,3.0048841789566896,70,3.7097623988547204,59,3.5210594021931807,51,3.0559965295657636,75
ank_32_21,2.578338881427557,56,1.8320071173749135,69,1.5271528965837984,62,1.1832968163304123,84,1.371669354226,63,0.9857569341239543,88,0.8461689653829335,92,0.8589158584065678,92,0.7797993746944262,100,0.8238142132507418,126,0.8356272521166039,109
ank_32_37,1.1410843858849529,109,0.7131225666416794,126,0.6951279971149054,174,0.6089974926686512,278,0.5481769205382634,237,0.610517702999386,220,0.6523824120395797,225,0.5105771531326903,274,0.5413350727847128,298,0.5617145379775745,295,0.5673116742253552,316
ank_33_25,0.7384506999607716,122,0.6942057331514275,158,0.5720233404607585,168,0.6444443135891222,237,0.5555338949594513,222,0.657771262057562,214,0.5053835774520835,235,0.5263664584901092,267,0.46932904142353027,255,0.48561420027595537,259,0.5298101854786792,266
ank_33_3,1.2171221982622071,102,1.2033835378314282,119,0.8927029101493973,133,0.9741680848451926,146,0.9950627018351469,139,1.0181896766266023,111,0.68550986796287,182,0.6793061579134592,188,0.7460109738850584,231,0.5681866343176915,208,0.5285886818562793,207
ank_33_34,1.0620638328956362,135,0.8137893260579291,171,0.6289204507145909,219,0.5486305260772311,301,0.5106254177183318,301,0.5404765875113329,331,0.4993221194283579,289,0.47644061137836946,386,0.4736297592725534,425,0.4548046760573654,464,0.4556633313755585,479
ank_33_36,0.94441882722684,87,0.669724684875514,136,0.5741131727517692,150,0.5005616528462892,183,0.5314147273417247,184,0.5936773949009172,191,0.5216889450822204,215,0.46945777586705884,223,0.4960521446586893,227,0.4455469567475555,247,0.4499446465866023,279
ank_34_11,2.1287737687110035,93,1.7067684293176706,124,1.3229094310869727,109,0.9808508578978874,151,0.9522395077463233,135,1.3052032006098193,92,0.5016179233114104,159,0.5040158208691226,181,0.48059403024461733,170,0.4711164193676135,186,0.5816693339855743,196
ank_34_15,3.247861950784367,68,2.0202799261194375,69,1.5502387157632016,75,1.5438827201825496,69,1.4799457094596409,65,1.2473490565322642,84,1.1838915170666882,72,0.9895897847567507,84,0.9169378931984453,85,0.9718942265837719,79,0.8399524116853312,85
ank_34_21,2.0619582677506365,45,1.1816147467935108,65,1.3378218418008936,68,0.8495424364697701,50,0.8520810067385861,61,0.789317538417043,62,0.8883556159424855,60,0.6638368034487598,95,0.9120624934459209,88,0.6164051272139757,80,0.5083716019979065,84
ank_34_30,0.9276991144080392,121,0.774659776220098,156,0.7166775316506447,177,0.5698727958159494,213,0.5502174089718017,181,0.4695065329589796,173,0.5706595374363115,237,0.4994524839301942,267,0.494179434184861,296,0.49102959028356813,299,0.5414120876482644,312
ank_35_11,1.3642746469371168,122,0.973716166665896,110,1.2078288877144192,116,0.8983865997422106,123,0.8814397360645605,111,1.0271082610721134,104,0.6333237196831459,193,0.574633132966136,198,0.6806891146281072,163,0.6007381873677985,200,0.5524479629337832,185
