stem,informative_frac,ref_edge,C1,C2,C4,C5
ank_17_31,0.04553324099722992,0.9594423320659062,1.0052840158520475,0.9709379128137384,1.0220167327168648,1.0224570673712021
ank_17_32,0.028412588488765773,0.9113067027758971,1.0705794947994056,1.0111441307578009,1.0564635958395245,1.0705794947994056
ank_18_16,0.14804555247768544,0.7635135135135135,1.1296800544588155,1.0706262763784888,1.1717154526889042,1.2018379850238257
ank_18_27,0.05020775623268698,0.942911877394636,0.9821210889882162,0.934985778138968,0.9776513612352703,1.0178789110117838
ank_18_29,0.15291243459526008,0.9251478173355139,1.014005983138428,0.9679086211585533,0.9764753875441937,1.0371226543377754
ank_18_37,0.253251000307787,0.9521458412457273,0.9684084563222976,0.997846031112884,1.0046270442760272,1.0249700837654567
ank_18_39,0.16703216374269006,0.9692502591270298,0.9894249049429658,0.9865731939163499,1.0022576045627378,1.0143773764258557
ank_18_7,0.2288781163434903,0.9230122709699109,0.9831542524130396,0.9494627572391185,0.9927153523948279,1.0306865780367875
ank_19_15,0.17436134195136965,0.9286187113857016,1.0020197219912084,0.9634073898063443,1.0090293453724606,1.0269692289414283
ank_19_33,0.0009618344105878732,1.0,1.0,0.98,0.96,1.0
ank_19_6,0.11542012927054478,0.8583333333333333,1.0700970873786408,0.992233009708738,1.068349514563107,1.110485436893204
ank_19_9,0.11036088027085257,0.9484050897681715,1.0124977026281934,0.9700422716412423,1.0297739386142255,1.0286712001470317
ank_1_34,0.10366651277316097,0.9307849322694377,1.0167464114832536,0.9794657097288677,1.0141547049441786,1.0187400318979267
ank_20_10,0.11572791628193291,0.944813829787234,1.0008796622097114,0.9537297677691766,0.9970091484869811,1.025686136523575
ank_20_19,0.04401354262850108,0.9353146853146853,1.0238317757009345,0.9523364485981308,1.0313084112149533,1.0233644859813085
ank_20_37,0.39623730378578026,0.9797553160501019,1.0009910311679304,0.989148208711164,1.0070363212923048,1.0097121054457163
ank_20_6,0.19407894736842105,0.7448706512042819,1.1958749168330007,1.1526280771789754,1.1885562208915503,1.2683965402528277
ank_22_10,0.30505540166204986,0.9134190944633623,1.0144287193648602,0.9781152916810493,1.0097342078011737,1.0210562651018296
ank_22_16,0.1424092028316405,0.8896393354045657,1.009110233829335,0.9483753416337686,0.9965077436987549,1.0569389614333433
ank_22_37,0.12515389350569406,0.9469720258223179,1.0029216036357733,0.950981983444246,1.0069793864632364,1.0086024995942218
ank_23_14,0.18417205293936595,0.8974305410486735,1.0103584729981379,0.9413407821229051,0.9970903165735568,1.0273510242085662
ank_23_28,0.4958833487226839,0.9555434866940802,0.9954936667749269,0.9726778174732057,1.0131536213056187,1.0053994803507633
ank_24_0,0.30066943674976915,0.7762635956493922,1.1322838539520317,1.0791230528311218,1.135333388279898,1.1744828154619633
