stem,stratum,conf_D,conf_B,conf_S,osm_fraction,err_C2,n_C2,err_C1,conf_COMB
31TGJ_1054_00,3,0.43545659123874586,-43.87877977416302,-1.6800377368927002,0.02826689276143469,1.0755257972837724,93.0,3.101075874632359,-0.19374942605072648
31TGJ_1156_00,5,0.9828681719901268,-7.113423488873011,-1.1023616790771484,0.05561022876954988,0.658057233381657,150.0,0.6865577478651096,0.6972792033474388
31TGJ_1189_00,5,1.2710845249029012,-9.81186047137395,-0.9094851613044739,0.04826719556692759,1.1634840789370615,153.0,1.1503895995709346,1.0973298031013636
31TGK_0015_00,3,0.5899889589534552,-24.607445120039216,-1.4172953367233276,0.005904707111387001,1.9806851648756778,70.0,2.1471384640750464,0.11966104180117998
31TGK_1163_00,2,0.26518041828841876,-45.20005712966771,-1.5370147228240967,0.0019076746052173387,1.500805234544923,60.0,2.9264690181747763,-0.27055916556984794
31UCQ_0211_00,5,1.441279016950883,-11.702809135408488,-0.7979884147644043,0.13897258096261866,0.9517475666211123,137.0,1.0915634332264033,1.3320743077844686
31UCQ_0249_00,3,0.6611592846991536,-20.478453136042425,-1.9394395351409912,0.02537510030431952,1.8209494676808542,66.0,1.1544030961723264,-0.13528605346523176
31UCQ_1476_00,2,0.4384757395832818,-29.95923491100314,-1.5417661666870117,0.0035731048161213646,2.6871952671205364,61.0,2.969007180568017,-0.1049696152555068
31UDP_0247_00,1,0.33272630837444944,-34.68668746731406,-2.279797315597534,0.0030734757528501568,2.630961299317259,49.0,3.9606296651795585,-0.6660107698672888
31UDQ_0751_00,2,0.3294120498749077,-20.46023221332158,-1.7689104080200195,0.02654090145195234,2.9574949375714916,53.0,2.355430280490066,-0.35205874502013945
31UDQ_1914_00,4,0.6955761807330422,-19.857593745794617,-1.8672423362731934,0.02743417765598268,0.9742361780364195,55.0,2.268986993518493,-0.05699130921925841
31UDQ_2521_00,5,2.1095322248432176,-4.788554574998518,-1.8390496969223022,0.41373828521249373,0.7408600498302712,187.0,0.7894131233290855,1.3356630212925524
31UFQ_0566_00,3,0.5546422000708536,-24.834017590321096,-1.4826284646987915,0.033172341746279276,1.171975877775015,92.0,1.959687781087312,0.044723393923204374
31UFQ_0574_00,2,0.3886193890062256,-19.27144677276248,-2.41184663772583,0.03383851383064089,3.0614519218651957,55.0,2.942039307918043,-0.6936321642224821
31UFQ_1482_00,2,0.2526274557121471,-25.303121699980277,-2.7541050910949707,0.015594482883919514,3.562841103085902,32.0,2.9097004708522256,-1.038377192018664
31UFS_0030_00,4,0.8315807053120758,-11.640464616745318,-1.2962255477905273,0.11153840330663599,2.025757340487292,56.0,1.8935939656640277,0.4297866319345426
31UFS_0938_00,4,0.8309609949785587,-15.512600658111856,-1.9132530689239502,0.07657950915229603,1.358995363905376,47.0,1.1059012799461505,0.04611303251593196
31UFS_1028_00,5,2.5375161884734414,-1.0519656401886863,-1.971818208694458,0.6498962891186846,0.697843614395574,285.0,0.7222087081534254,1.6694743465414024
31UFS_1127_00,5,1.2579144504859225,-11.2450142276803,-1.935923457145691,0.1725991309482354,1.250949956856889,89.0,1.4245409782625702,0.4472746523852485
31UFS_2358_00,4,0.8831193982360867,-14.924137680294436,-1.1359846591949463,0.048342896940150495,1.542179010940008,98.0,1.4796638363646715,0.5793936887949332
32ULA_0661_00,5,2.0291212120372055,-5.994972739164916,-1.7675714492797852,0.3725718784538751,0.7604428249983863,221.0,0.6215779946310173,1.301834846812634
32ULC_1573_00,5,1.6783367711851893,-8.824714717720564,-1.3135318756103516,0.23550697209647384,0.6380367943662513,142.0,0.6174784646114936,1.242559978415902
32UMA_0976_00,3,0.4804736238293457,-40.336846871313064,-1.0392417907714844,0.010053142364002484,1.7823667457605303,68.0,2.123045362043508,0.2478592717396563
32UMC_0051_00,4,0.9849158460554686,-12.987560057536404,-2.8344290256500244,0.08640554739662977,1.8707724831590977,70.0,2.079040381281636,-0.3760534631909238
32UMC_0836_00,5,1.68492628356006,-9.303364929249684,-2.146104574203491,0.2998985601598813,0.7324585625718246,152.0,0.6762082397908273,0.7320802451589238
32UMC_1241_00,4,0.9060850286554226,-16.863469582082626,-1.3499455451965332,0.0734757528501567,1.2577906353570465,59.0,1.733344389754381,0.46889512364685976
32UMC_1688_00,4,0.9225807137233184,-16.915705555395892,-0.9381484389305115,0.02588986964223531,1.0013382913318403,128.0,0.9865744257471876,0.7405952332875633
32UMC_2029_00,4,0.9483659437936871,-14.110638888653858,-0.8787238001823425,0.03715423397780436,1.1967195502580155,72.0,1.7771669080079153,0.8025655754208306
32UNE_1359_00,4,0.9813852068526618,-14.93259260307086,-1.4253475666046143,0.06349831185937713,1.9145819961515445,91.0,1.9179438935576232,0.49531671804726174
