site,stem,score,rank,residual,provenance,n_pts
cappadocia,36SXJ_23_32,0.185389,19,1.84632973799692,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",53
cappadocia,36SXJ_16_36,0.184851,20,3.3590395725346043,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",38
cappadocia,36SXJ_0_41,0.179832,21,3.4473205605547186,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",27
cappadocia,36SXJ_33_6,0.177256,22,1.9662284210229293,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",66
cappadocia,36SXJ_34_35,0.173618,23,1.6494135680016675,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",32
cappadocia,36SXJ_2_34,0.15895,24,0.9799200335132842,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",59
cappadocia,36SXJ_41_10,0.156611,25,0.5593809238978895,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",60
cappadocia,36SXJ_19_37,0.156366,26,1.213230856945163,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",59
cappadocia,36SXJ_27_4,0.151081,27,3.4983191196787766,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",35
cappadocia,36SXJ_9_40,0.150832,28,1.618810249497654,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",38
cappadocia,36SXJ_22_41,0.144184,29,1.596543498350832,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",67
cappadocia,36SXJ_19_6,0.143483,30,1.7368428207219884,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",34
cappadocia,36SXJ_1_0,0.137951,31,0.8604418271857603,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",65
cappadocia,36SXJ_12_13,0.137048,32,0.9956211185320427,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",69
cappadocia,36SXJ_19_38,0.135248,33,2.1866839499811945,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",29
cappadocia,36SXJ_1_31,0.133198,34,2.835600803919506,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",26
cappadocia,36SXJ_21_9,0.131125,35,1.7586823944869887,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",48
cappadocia,36SXJ_39_10,0.128047,36,2.943420348894443,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",42
cappadocia,36SXJ_0_22,0.123579,37,1.8679492095756496,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",67
cappadocia,36SXJ_32_29,0.123355,38,2.5511589319984784,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",31
cappadocia,36SXJ_25_41,0.122109,39,1.3793151850825598,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",68
cappadocia,36SXJ_36_12,0.121836,40,2.052135709755751,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",49
cappadocia,36SXJ_14_6,0.121505,41,1.7216715851527353,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",63
cappadocia,36SXJ_17_12,0.118043,42,1.882814950651192,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",37
cappadocia,36SXJ_32_14,0.116603,43,2.472239525311504,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",41
cappadocia,36SXJ_15_1,0.115551,44,2.219277753628771,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",36
cappadocia,36SXJ_22_8,0.114052,45,2.948492646839509,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",28
cappadocia,36SXJ_28_21,0.109401,46,3.3899334973888813,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",25
cappadocia,36SXJ_40_29,0.106903,47,1.6364661991045417,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",56
cappadocia,36SXJ_5_3,0.106323,48,0.6452986003288373,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",60
cappadocia,36SXJ_8_36,0.102727,49,2.764436413399584,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",33
cappadocia,36SXJ_26_38,0.102308,50,3.426901005105317,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",24
cappadocia,36SXJ_31_1,0.099556,51,3.518169755513621,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",38
cappadocia,36SXJ_29_0,0.092986,52,3.7678478742010553,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",51
cappadocia,36SXJ_23_17,0.092816,53,1.5358406837355127,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",24
cappadocia,36SXJ_9_37,0.09175,54,3.0260091302326586,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",19
cappadocia,36SXJ_9_26,0.090293,55,2.2562381381764407,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",33
cappadocia,36SXJ_31_2,0.089878,56,2.7827935341881567,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",50
cappadocia,36SXJ_16_16,0.088759,57,3.3159568573808693,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",39
cappadocia,36SXJ_22_0,0.088751,58,2.4664356306612296,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",50
cappadocia,36SXJ_3_14,0.087425,59,2.384003461358018,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",31
cappadocia,36SXJ_18_9,0.087085,60,3.1878551091192397,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",47
cappadocia,36SXJ_16_6,0.08677,61,2.629344379735612,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",57
cappadocia,36SXJ_36_8,0.085557,62,3.2494227491279033,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",31
cappadocia,36SXJ_19_11,0.085057,63,3.0472092363205303,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",48
cappadocia,36SXJ_21_0,0.08298,64,1.9333788850777511,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",44
cappadocia,36SXJ_18_35,0.082771,65,4.5997178935889425,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",28
cappadocia,36SXJ_15_6,0.081892,66,1.1930135699333009,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",49
cappadocia,36SXJ_10_36,0.081406,67,3.1708955897956543,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",57
cappadocia,36SXJ_8_39,0.080507,68,2.973248153452557,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",23
cappadocia,36SXJ_18_5,0.077073,69,3.023848687169236,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",42
cappadocia,36SXJ_12_11,0.076653,70,0.8637948986998512,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",71
cappadocia,36SXJ_0_40,0.072314,71,1.728865051905787,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",55
cappadocia,36SXJ_18_17,0.069581,72,2.2955600884614844,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",26
cappadocia,36SXJ_6_35,0.067509,73,2.5907492699127523,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",38
cappadocia,36SXJ_2_41,0.066534,74,2.6342135077557995,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",37
cappadocia,36SXJ_34_26,0.06636,75,2.269792232893383,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",37
cappadocia,36SXJ_28_28,0.064894,76,2.862552885632598,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",27
cappadocia,36SXJ_22_34,0.064662,77,3.7557768932749718,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",28
cappadocia,36SXJ_22_36,0.062471,78,4.5012083759915775,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",31
cappadocia,36SXJ_10_23,0.062028,79,3.6774796555730567,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",34
cappadocia,36SXJ_19_19,0.061936,80,2.609969954419485,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",41
cappadocia,36SXJ_40_0,0.061673,81,2.840327248011549,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",38
cappadocia,36SXJ_22_19,0.061199,82,3.356809597277248,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",23
cappadocia,36SXJ_29_20,0.060766,83,3.9742203012871427,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",50
cappadocia,36SXJ_37_8,0.060305,84,2.824806509669068,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",18
cappadocia,36SXJ_16_39,0.060051,85,1.383761909240032,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",38
cappadocia,36SXJ_35_18,0.056791,86,3.8672954966631976,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",29
cappadocia,36SXJ_16_0,0.056426,87,3.4528650129608254,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",32
cappadocia,36SXJ_7_40,0.055178,88,2.399268051869674,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",13
cappadocia,36SXJ_16_21,0.054996,89,4.195425933252372,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",24
cappadocia,36SXJ_9_22,0.054833,90,4.521259847341754,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",19
cappadocia,36SXJ_29_10,0.049319,91,1.7981306922799938,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",35
cappadocia,36SXJ_21_28,0.046761,92,3.3485176172547115,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",34
cappadocia,36SXJ_6_12,0.046345,93,3.6571852787224803,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",29
cappadocia,36SXJ_19_21,0.045822,94,2.998048769531685,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",37
cappadocia,36SXJ_19_15,0.04482,95,2.374755384367375,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",17
cappadocia,36SXJ_18_31,0.044689,96,3.4598199677780768,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",25
cappadocia,36SXJ_19_18,0.043109,97,3.799064098705223,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",37
cappadocia,36SXJ_9_11,0.041945,98,3.47995178490513,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",18
cappadocia,36SXJ_2_26,0.041719,99,3.2563634518053934,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",36
cappadocia,36SXJ_32_3,0.040758,100,3.7359700298160874,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",32
cappadocia,36SXJ_12_12,0.038399,101,3.708006257997989,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",25
cappadocia,36SXJ_15_29,0.037495,102,3.3990824686660446,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",26
cappadocia,36SXJ_14_23,0.035468,103,2.2772911450435034,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",22
cappadocia,36SXJ_18_21,0.033809,104,3.874038475228786,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",22
cappadocia,36SXJ_17_21,0.027564,105,3.056582718154803,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",20
cappadocia,36SXJ_13_13,0.027284,106,4.04243961726899,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",30
cappadocia,36SXJ_28_20,0.026856,107,3.701043066830998,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",41
cappadocia,36SXJ_5_30,0.025927,108,4.226132382721758,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",22
cappadocia,36SXJ_0_35,0.025696,109,3.7181140828521095,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",36
cappadocia,36SXJ_22_17,0.024743,110,3.176849771664115,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",24
cappadocia,36SXJ_17_9,0.021371,111,3.978341049897477,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",29
cappadocia,36SXJ_21_18,0.021204,112,3.607897910169354,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",38
cappadocia,36SXJ_15_38,0.018503,113,2.3927736215521564,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",34
cappadocia,36SXJ_9_14,0.016569,114,3.364826941770851,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",23
cappadocia,36SXJ_20_20,0.016256,115,2.7010848329086485,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",30
cappadocia,36SXJ_11_25,0.015873,116,3.9183330596933743,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",20
cappadocia,36SXJ_33_4,0.014948,117,3.782360624549707,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",28
cappadocia,36SXJ_23_0,0.013895,118,3.173619899622988,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",30
cappadocia,36SXJ_15_30,0.012327,119,3.1218584431957153,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",22
cappadocia,36SXJ_16_11,0.008804,120,3.820236627834589,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",22
cappadocia,36SXJ_14_31,0.007261,121,4.101150299902946,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",31
cappadocia,36SXJ_18_28,0.004847,122,4.234929394400624,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",15
cappadocia,36SXJ_27_9,0.004805,123,4.640185141739308,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",21
cappadocia,36SXJ_4_17,0.002271,124,4.847655838231491,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",22
cappadocia,36SXJ_38_18,0.002162,125,3.7844043711417346,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",30
cappadocia,36SXJ_10_17,0.000725,126,3.3623403139987227,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",18
cappadocia,36SXJ_6_20,0.000267,127,3.7128396164827278,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",7
cappadocia,36SXJ_31_5,-0.075415,128,3.22660076611908,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",26
cappadocia,36SXJ_5_5,-0.171459,129,2.473571303685481,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",41
cappadocia,36SXJ_41_33,-0.451442,130,4.313628504046377,"STOCH single-draw, PRE inputs; residual NA (C2 per-chip archive missing)",38
