sitevar,arm,stem,stratum,n_mean,med_mean,n_single,med_single,improve
ank_prod,pretrained,ank_7_8,2,48,2.77059942949154,55,3.1360218893090797,0.36542245981753974
ank_prod,pretrained,ank_8_31,2,34,2.6321530038348415,37,2.4382662937162567,-0.19388671011858483
ank_prod,pretrained,ank_9_1,3,40,3.8556090595673336,45,3.018522204442646,-0.8370868551246877
ank_prod,pretrained,ank_9_25,1,37,3.543256833451293,31,3.9722412911911693,0.4289844577398765
ank_prod,C1,ank_0_30,1,38,3.4538187160048577,46,3.8844973145883244,0.4306785985834667
ank_prod,C1,ank_13_34,1,17,4.442966735150765,24,4.115992038754518,-0.3269746963962472
ank_prod,C1,ank_13_6,4,64,3.5415835062991805,58,2.890151981591886,-0.6514315247072946
ank_prod,C1,ank_17_22,3,46,2.76796494637673,56,2.63501762102078,-0.13294732535594989
ank_prod,C1,ank_18_7,4,92,1.3311532922889464,78,1.3648258707163357,0.033672578427389244
ank_prod,C1,ank_20_6,3,62,3.0795710209221685,52,3.1155518285821246,0.03598080765995615
ank_prod,C1,ank_22_16,2,53,3.3417415343162165,38,3.3873727153216793,0.04563118100546282
ank_prod,C1,ank_22_37,4,51,1.3569828240853787,46,0.9895936693478874,-0.36738915473749134
ank_prod,C1,ank_24_3,1,43,2.818177265062223,47,2.9790160164405313,0.16083875137830805
ank_prod,C1,ank_25_16,2,63,2.2478263203162276,76,2.3495239917562407,0.10169767144001307
ank_prod,C1,ank_26_3,4,51,3.321673294315156,58,2.8354903167224585,-0.48618297759269735
ank_prod,C1,ank_26_5,5,68,2.504297799488789,55,3.262928009418309,0.7586302099295197
ank_prod,C1,ank_27_14,1,46,3.6134213819933376,57,3.8961734568903266,0.28275207489698895
ank_prod,C1,ank_29_21,3,37,2.741593547279474,62,2.390226123554418,-0.35136742372505614
ank_prod,C1,ank_2_12,3,55,2.5443128189897446,61,3.0097279634972063,0.4654151445074617
ank_prod,C1,ank_33_3,5,100,1.529838806917061,97,1.6055775844826907,0.07573877756562974
ank_prod,C1,ank_33_34,5,324,0.535790228409964,308,0.5231556073037161,-0.012634621106247912
ank_prod,C1,ank_34_11,5,67,1.3167703433305722,62,1.4781463626939157,0.16137601936334356
ank_prod,C1,ank_35_11,5,72,2.9069658798937024,75,2.696261881183126,-0.21070399871057655
ank_prod,C1,ank_38_22,5,144,0.5542743346655683,157,0.5999489877946412,0.04567465312907293
ank_prod,C1,ank_3_13,2,54,2.684453875793313,51,2.483880300616155,-0.2005735751771578
