stem,silent_frac,ref_edge,pretrained,C2,C5
ank_29_0,0.5865458602646968,0.8380177757371028,1.033695992485911,0.27993894802755165,0.9972996242955541
ank_29_11,0.9960757156048015,0.5458864426419467,0.958678270713932,0.04595627255359796,1.6202504776056037
ank_29_21,0.8362380732533087,0.8828184306779232,0.7760898454803659,0.08817781483701176,1.0142793860906272
ank_29_24,0.8373153277931671,0.8632572885795023,1.0614770459081837,0.6628077178975383,1.0399201596806387
ank_29_26,0.8854839950754079,0.8754100497490821,0.9819336906889021,0.3662646416517769,1.0281169346833434
ank_2_12,0.8373730378578024,0.5757638410291753,0.5948210509516019,0.040458045724773566,1.2484139967282446
ank_2_23,0.9355763311788242,0.8674000205613241,1.079244299056559,0.6047266865784858,1.0292988195135828
ank_30_30,0.38384887657740846,0.7762353412849554,1.13932468203241,0.7291626315449673,1.1076247659629415
ank_30_7,0.5720798707294552,0.6996872793301725,1.0924163783160323,0.2688389081122645,1.0350346020761245
ank_31_32,0.35293551862111416,0.7080721643865482,1.1609575860210914,0.6022631052266953,1.1469478869986915
ank_31_7,0.6704562942443829,0.6443921613634407,0.9887350282737434,0.16470012021906585,0.9971503628834767
ank_32_12,0.8320252385349338,0.6629520022195505,0.631652367998884,0.06933110134616725,1.0038013531422194
ank_32_21,0.7498845798707294,0.9228361808013955,0.8167287485406127,0.25551787402012566,0.8427197420359148
ank_32_37,0.40735610957217605,0.3211654703437854,1.0211733568592856,0.9106013821496839,1.2204087634171445
ank_33_25,0.4989996922129886,0.8902081727062452,1.0082279577342803,0.5198337086436862,1.0251169236099082
ank_33_3,0.5984533702677747,0.5351655416264867,1.203075259775362,0.4198450357378821,1.3587002222355695
ank_33_34,0.2574830717143737,0.7935748972730668,1.1062888344944455,0.46808510638297873,1.0981924308039916
ank_33_36,0.39844952293013236,0.7937044368271134,1.0573600973236008,0.3930048661800486,1.0248175182481751
ank_34_11,0.6464489073561096,0.5706888855825026,1.3215142350610074,0.39441026175826466,1.3191156533528
ank_34_15,0.5557286857494613,0.7193049257502856,1.0135707410972088,0.2258902791145332,1.170596727622714
ank_34_21,0.6317905509387504,0.8417318758944067,0.9580756013745705,0.18943751130403327,1.0330258636281426
ank_34_30,0.19336718990458604,0.9516514126541982,0.8822914488814552,0.9656073593978675,1.010976374660255
ank_35_11,0.6323676515851031,0.5051866273233353,0.8345276088396459,0.32040705726500873,1.2904197025350754
ank_35_28,0.1433518005540166,0.8837895866881375,1.017916793197692,0.7304889158821742,0.996204069237777
ank_35_39,0.8452216066481995,0.7754563248213392,1.1210378023010097,0.33643460906316036,1.0980277060342802
ank_35_7,0.7424399815327793,0.6750874465604353,1.099251583189407,0.18698906160046058,1.26417194396469
ank_36_40,0.959314404432133,0.6579839178648058,1.1365922043092678,0.12738853503184713,1.364611586871057
ank_38_19,0.9170706371191135,0.7887693243555052,1.1549876339653753,0.13371273568598252,1.153205861234476
ank_38_22,0.43996229609110493,0.7237986970399195,1.2099794611574242,0.6788087471306029,1.2683943457774556
ank_38_24,0.7447291474299784,0.7484372578395413,1.0053149266609145,0.27402933563416737,1.1881967213114752
ank_38_27,0.7543667282240689,0.7844447277827362,1.0744099863467915,0.14082309342695531,1.127072362005071
ank_38_40,0.9617189904586027,0.8729247509701165,1.0106780321257531,0.38152196329140026,1.043857840104489
ank_38_9,0.6177092951677439,0.6862134471053533,1.033492171545269,0.15597912412071707,1.1782164737916951
ank_39_1,0.933691135734072,0.5359622555988215,1.5271776735603906,0.07988006458061044,1.687206888598447
ank_3_13,0.9390196983687289,0.6846806244110296,1.1147746992998624,0.2501346418526719,1.300191490634911
ank_3_25,0.9328447214527547,0.8778999030787948,0.8119421215822608,0.06466691722258762,1.0241708164991075
ank_3_29,0.9805517082179132,0.8468797206364154,0.9604104892512972,0.04123424759080801,1.0711638250555968
ank_3_34,1.0,0.8070367805478609,1.118275212738064,1.0461945510452173,1.1701189426262721
ank_3_39,0.7832217605417051,0.7581972246100945,1.142371234207969,0.3309685779073534,1.1827664399092972
ank_3_9,0.8222914742997846,0.6858419501239882,1.2029539175222568,0.18241975645529895,1.2703550840809088
ank_40_19,0.7134118190212373,0.7671088820579194,1.0152553692572674,0.19069211571584238,1.170902316425885
ank_40_2,0.8830409356725146,0.7069100731962357,1.0535901386748843,0.09285053929121725,1.2616024653312787
ank_40_40,0.9452908587257618,0.8773707773707774,0.9010066335761006,0.10094168947441666,1.0354177297397598
ank_41_0,0.9022391505078485,0.7440834079570168,1.0897733459411445,0.1810367059228058,1.2117539184503854
ank_41_1,0.903951215758695,0.5896448256049031,1.3838241663057602,0.11411866608921611,1.524144651364227
ank_41_19,0.918936595875654,0.7364664015072221,1.2151729626787187,0.2828231147494386,1.2515562377419631
ank_41_40,0.9832448445675592,0.7993856748772328,0.8033725739739103,0.05614430113316528,1.1346582148363886
ank_4_23,0.9364035087719298,0.8832943013270882,0.9015512710189083,0.30671907342372723,1.0066981417308185
ank_4_41,0.9349030470914127,0.6955349794238683,1.0808508120581013,0.3493772742064314,1.2528473804100226
ank_5_12,0.6841143428747307,0.6515479571464725,1.0291743990332742,0.13119848085969532,1.1638254714945404
ank_5_40,0.9738381040320099,0.6241901074589128,1.2702300705718534,0.15240988638880976,1.4419443653280166
ank_5_5,0.7578870421668206,0.5691151835118534,0.38636160913388634,0.055971813397555976,0.8816341093568817
ank_6_10,0.8359495229301324,0.5879510309278351,0.6070841487279843,0.04140900195694716,1.0926810176125246
ank_6_38,1.0,0.6890581717451524,1.2292853154662198,0.31532663316582915,1.2953657174762703
ank_7_36,0.966124192059095,0.7172809270652888,1.0864146124805685,0.161309127248501,1.2714301576726628
ank_7_8,0.8584756848261004,0.406390749994398,0.9183943537715042,0.11187692986325541,1.6430855756506397
ank_8_19,0.9387503847337643,0.8137295081967213,1.049383026945354,0.14077058675396625,1.1022412490556535
ank_8_22,0.8939481378885811,0.8461190850207656,0.9996439471007121,0.41792980671414043,1.0786876907426246
ank_8_31,0.9998653431825177,0.7568732323912499,0.9474834773767158,1.1413065582104729,1.2577529232333504
