stem,pre_med,pre_n,C2_med,C2_n,C5_med,C5_n
ank_19_6,2.617815815166602,60,1.5781134555093876,62,1.9717932721953357,60
ank_19_9,2.625465191897572,32,1.047560519860797,75,1.1751458938870214,83
ank_1_34,3.473055132023447,26,1.0328653576766134,69,1.576908346260564,77
ank_20_10,2.3238447686911368,42,0.42312887247555786,169,0.3436985020439893,173
ank_20_19,3.339545118262882,43,2.891536905126995,59,2.5458323206378557,71
ank_20_37,1.0153386685246166,105,0.5432600092313463,217,0.5750065536551766,197
ank_20_6,2.953198259465808,53,2.239569754139863,70,1.889358219751154,95
ank_22_10,1.9163009480003148,79,0.48839959584671533,125,0.740835400563989,143
ank_22_16,3.183092814088014,51,1.7970235033480502,45,2.0408424205936417,71
ank_22_37,1.8768363310702,39,0.6138438797637029,54,0.8463516141496821,80
ank_23_14,2.28414728193807,66,1.484639211551104,65,2.2369444096616355,95
ank_23_28,1.0840761626184352,66,0.4711594957822909,150,0.5595061601741801,129
ank_24_0,2.849717206309148,66,1.0981597275502546,94,1.5981450883474024,131
ank_24_12,2.2243788583002155,51,1.6338895470383996,53,2.0680299900066137,74
ank_24_14,2.8929374480514225,42,0.49321641480864614,115,0.5701506924088964,126
ank_24_3,3.493766352589964,61,2.915766377409529,51,2.5536598515267803,44
ank_25_1,2.324888068299498,68,0.7879795124170719,131,0.7969051230133396,137
ank_25_14,3.0427482489735964,50,1.634061712880976,76,1.3784784046125713,99
ank_25_16,3.184549785322961,58,1.714041830734161,68,1.5101505741580423,90
ank_25_37,2.8801973886597163,37,1.0318166691118213,83,1.06258432114358,71
ank_26_21,2.3878711270619757,50,0.4727608835493296,27,2.0351589034553665,57
ank_26_22,2.949241989452295,35,1.0595465692587431,65,0.8070026182130348,62
ank_26_29,0.843267860813069,96,0.5499241580111506,379,0.6042710093135553,352
ank_26_3,1.5236503168188016,86,0.8743959637477062,101,1.1055473833751437,115
ank_26_35,3.7947434073293462,37,3.00371740193407,48,1.5625115526234545,44
ank_26_5,2.1644806762396795,73,0.5700983522815378,129,0.7299747896100114,138
ank_27_14,3.9589737860704632,58,3.964312036454386,43,3.2200972596961925,60
ank_27_40,3.164839753789221,38,3.140592008490804,40,2.5555318554506887,60
ank_28_27,2.8721229839741707,40,1.0313168933257375,72,1.5187791000413025,85
ank_28_37,1.2579217692025366,89,0.6184594713315756,191,0.7313377026393896,168
ank_28_38,1.5318626584435702,47,1.4177489653558277,63,1.1266690572977665,67
ank_28_9,3.1075607318622716,54,2.994233340221131,58,3.0627345611072077,75
ank_29_0,1.835207884054358,69,0.969921897788063,94,0.9287931368462519,88
ank_29_11,3.9944975115326615,42,2.8041359056095,38,2.83885280384271,58
ank_29_21,2.7096024964517307,37,1.5883726650038439,54,1.6703830770749863,63
ank_29_24,1.8262782035956349,77,0.6500493257924482,184,0.6185034880651432,222
ank_29_26,3.720947211507616,42,0.6106773550204835,88,0.7648368080723388,114
ank_2_12,1.978966927870006,77,1.1893611987234198,79,1.5234322717451518,108
ank_2_23,2.769826729071904,41,0.6652014677604036,66,0.7181803476338655,84
ank_30_30,1.2229625608541594,84,0.49313369767217297,213,0.4719194964264437,206
ank_30_7,2.143560212861101,85,0.8005879646902332,143,0.6955382614955774,131
ank_31_32,1.2935808705680123,110,0.4756364627641736,250,0.5148791240610249,274
ank_31_7,1.5562532140569327,106,0.46505653705210936,179,0.49752288979102754,216
ank_32_12,3.526263112122079,43,3.080331266225628,51,2.7095859503849287,86
ank_32_21,2.578338881427557,56,0.7059001788837505,108,0.8408647247521862,107
ank_32_37,1.1410843858849529,109,0.5319426270353317,301,0.5503733056921625,298
ank_33_25,0.7384506999607716,122,0.4761865762608519,260,0.5647052741463964,274
ank_33_3,1.2171221982622071,102,0.5297848911662122,230,0.693637824878746,192
ank_33_34,1.0620638328956362,135,0.4520795016622835,446,0.49415049364961816,468
ank_33_36,0.94441882722684,87,0.45769313019686586,270,0.4454020810591053,263
ank_34_11,2.1287737687110035,93,0.42346733964091005,186,0.6366928859602878,195
ank_34_15,3.247861950784367,68,1.1361758240366586,81,0.8380744146943502,98
ank_34_21,2.0619582677506365,45,0.7351158102558123,98,0.6743086342430644,102
ank_34_30,0.9276991144080392,121,0.49961785255807534,306,0.4275621907557066,301
ank_35_11,1.3642746469371168,122,0.4993837651258106,182,0.5638893730475295,157
ank_35_28,1.107907097753739,163,0.5175340017896845,377,0.5103909255257381,417
ank_35_39,2.095562543136553,38,0.8089942960395327,80,0.8338969101131185,67
ank_35_7,2.025982801213879,58,0.5891558344370083,104,0.8692467338667642,108
ank_36_40,4.06478319959864,38,2.3389134968904663,60,2.27560536319025,66
ank_38_19,4.571640519758185,27,3.0003261212428622,26,3.4556844868181607,40
ank_38_22,1.0934926310796658,93,0.5112703484832556,231,0.5341524929703314,175
ank_38_24,3.289505946454829,25,0.6512657611774466,60,1.005279470466085,61
ank_38_27,2.1426518976101363,46,1.1384174349255944,77,0.8383136463016018,69
ank_38_40,4.572350961205214,36,1.9577905005930267,46,1.8320035125027612,73
ank_38_9,1.0070154102404998,76,0.60313214133663,133,0.6422388554985758,150
ank_39_1,3.857704303971118,43,3.096787600256105,56,3.5377042976550896,57
ank_3_13,3.2403907286669265,42,1.1390326476419628,67,1.639221124596604,105
ank_3_25,3.465864653519852,50,2.62707075998358,56,2.45852102609063,71
ank_3_29,3.442547409282412,13,3.8067917960700006,15,3.7871753938923725,28
ank_3_34,1.3984197669960885,51,0.5338477336394152,103,0.5424430552466637,130
ank_3_39,2.9192768682694235,22,1.2529700766716312,42,1.3527703039285273,31
ank_3_9,1.916484618327928,52,0.7723422883146123,97,1.124479339227355,92
ank_40_19,1.059808318045326,81,0.43478223468536453,125,0.49662643909573906,141
ank_40_2,3.5384579212473257,36,2.3474931963979984,42,2.9161056082275896,77
ank_40_40,3.28750465661171,25,2.319336285139171,31,2.233026344037614,54
ank_41_0,2.426187977116153,43,1.4183596496070594,61,2.387432514361981,73
ank_41_1,2.0345253557256497,38,2.1102266833031074,54,1.7071909159794871,68
ank_41_19,3.3341715937949523,28,3.165360174812214,37,2.8554793699473806,37
ank_41_40,3.098666632884822,25,4.053177654750178,31,3.6052112906429166,41
ank_4_23,3.839902619777315,32,1.644223563437947,53,1.7353704227544942,62
ank_4_41,3.667302818899143,35,0.8035478716323431,61,1.003997089685901,70
ank_5_12,1.2636424016899404,102,0.38894326924997097,197,0.4186422337011225,209
ank_5_40,2.9529203820752095,11,5.271329307220246,19,3.711916815822135,27
ank_5_5,1.91496902998628,75,0.482016371600946,156,0.4673864642981678,157
ank_6_10,1.701941016175065,78,1.1626665497903388,96,1.7261793610767018,119
ank_6_38,2.565681799046371,23,1.965576122226504,22,3.0527203925236766,28
ank_7_36,4.879859744562963,15,3.780649078990587,12,3.942827747909107,25
ank_7_8,2.5132355566538624,87,1.2740094626225944,134,1.7180391476631869,119
ank_8_19,3.894557755594142,36,2.648777515248473,42,2.44494444074698,66
ank_8_22,2.9705626908333747,54,0.6361296732143302,74,0.6211953292235886,90
ank_8_31,2.4848005592675184,22,1.1168564649152415,39,1.531149028808978,52
ank_8_41,1.38301893146909,58,0.4361952598963902,138,0.4639823263273588,166
ank_9_1,1.968581326970428,57,1.2831277492490956,75,1.4357061456102254,93
ank_9_24,3.1044634959965274,36,0.524317024670609,77,0.7241593398934401,87
ank_9_25,3.886089116765112,47,0.5014819648328107,69,0.5849181409406291,89
